project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun_percentage,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,WIDENING TO 2L FROM 228/70 TO 258/70 AND 286/70 TO 327/70 OF VR,Road Transport And Highways,Not reported,2015,2019-08-31,229.29,163.4,-11.943313972342047,-28.73653451960399,16.793220547261942,245.08103896103904,1399,-1153.918961038961,1,1
,"FIELD DEVELOPMENT OF NELP BLOCK KG-ONN-2003,",Barauni Refinery                      (Indian Oil Corporation,Not reported,2018,2019-10-31,420.76,239.45,-22.326570889410487,-43.09107329594068,20.764502406530195,168.44587072018888,425,-256.55412927981115,1,1
,FUEL QUALITY UPGRADATION (DHDT/PRIME G) PROJECT AT,Petroleum,Not reported,2018,2019-10-31,822.66,822.02,13.388083875726277,-0.07779641650256319,13.46588029222884,208.72315295815292,364,-155.27684704184708,1,1
,INSTALLATION OF BUS REACTORS AT CUDDAPAH NELLORE,Power,Not reported,2019,2019-10-31,251.6,192.74,-13.384245294747751,-23.394276629570744,10.010031334822992,423.8992748917751,152,271.8992748917751,1,1
,2 LANNING OF MOKAMA-MUNGER,Road Transport And Highways,Not reported,2013,2019-11-30,351.54,329.4,-33.05152604027023,-6.298003072196632,-26.7535229680736,156.69001574183392,2404,-2247.309984258166,1,1
,DEVELOPMENT OF SIX LANE EASTERN PERIPHERAL EXPRESSWAY (,Pkg-Iii)                  (National Highways Authority Of,Not reported,2018,2019-11-30,785.78,839.0,-4.014080332210877,6.772888085723743,-10.78696841793462,139.56991833923655,639,-499.43008166076345,1,1
,CONSTRUCTION OF FLYOVER-UNDERPASS BETWEEN NORTHERN,Ibrahimpatnam Hyderabad                (Central Public,Not reported,2019,2019-12-31,188.0,146.45,-15.05816740439779,-22.10106382978724,7.042896425389451,215.39930735930741,213,2.3993073593074143,1,1
,CONSTRUCTION OF SOUTHERN REGIONAL CENTER FOR NSG AT,Urban Development,Not reported,2017,2019-12-31,157.84,167.23,-35.33391012361914,5.94906234161175,-41.28297246523089,244.71969696969708,1035,-790.2803030303029,1,1
,JAIPUR-PANIPAT NAPTHA PIPELINE ALONG WITH AUGMENTATION OF,Petroleum,Not reported,2019,2019-12-31,890.0,609.29,11.14794214891304,-31.540449438202252,42.68839158711529,211.72966810966807,91,120.72966810966807,1,1
,CONSTRUCTION OF ONE ETP AND THREE ETPS CUM WATER,Petroleum,Not reported,2014,2020-01-31,202.94,193.03,-5.503894201711572,-4.883216714299792,-0.62067748741178,513.4753625541125,2221,-1707.5246374458875,1,1
,UPGRADATION OF NATIONAL FIRE SERVICES COLLEGE AT NAGPUR,Urban Development,Not reported,2012,2020-02-29,205.0,166.12,-12.227754370239273,-18.965853658536584,6.738099288297311,126.25874999999999,2921,-2794.74125,1,1
,REDEVELOPMENT/ EXPANSION OF MEERUT DEPOT FOR ENHANCING,Petroleum,Not reported,2019,2020-04-30,154.84,128.71,-21.211543406500535,-16.875484370963573,-4.336059035536962,517.7455898268396,181,336.7455898268396,1,1
,CONSTRUCTION OF MEDICAL COLLEGE AND HOSPITAL AT,Urban Development,Not reported,2014,2020-07-31,768.88,1125.98,-2.473634833904438,46.44417854541671,-48.91781337932115,98.45749409681228,2372,-2273.5425059031877,1,1
,CONSTRUCTION OF PARAMEDICAL AND ALLIED HEALTH INSTITUTE,Gulbarga                          (Hindustan Steelwork,Not reported,2015,2020-07-31,324.87,270.24,-27.994358884963102,-16.815957152091602,-11.1784017328715,259.08453955135775,1704,-1444.9154604486423,1,1
,CONSTRUCTION OF PERMANENT CAMPUS OF IISER KOLKATA AT,At Gulbarga                    (Hindustan Steelwork,Not reported,2016,2020-07-31,156.57,159.35,-34.33925499838594,1.775563645653702,-36.114818644039644,244.71969696969708,1460,-1215.280303030303,1,1
,NEELAM REDEVELOPMENT PLAN FOR EXPLOITATION OF BASSEIN,Petroleum,Not reported,2019,2020-07-31,2818.88,2907.03,-21.40530187210509,3.1271285049381348,-24.532430377043223,392.2736634199133,518,-125.7263365800867,0,1
,REHABILITATION AND UPGRADATION OF NH-4 FROM NALAGAMPALLI,Road Transport And Highways,Not reported,2020,2020-07-31,648.32,511.34,-11.690148821014809,-21.128455083909188,9.438306262894379,150.22170405352222,152,-1.7782959464777832,1,1
,CONSTRUCTION OF CIVIL STRUCTURES AND OTHER,Under Phase-Xii                      (Hindustan Steelwork,Not reported,2015,2020-08-31,154.0,280.32,-29.35546900954713,82.02597402597402,-111.38144303552116,249.76454545454558,1765,-1515.2354545454543,1,1
,CONSTRUCTION OF RURAL ROAD DEVELOPMENT AUTHORITY,Under Pmgsy-Jharkhand                (Hindustan,Not reported,2016,2020-08-31,787.29,285.3,-4.014080332210877,-63.76176504210647,59.747684709895594,139.56991833923655,1369,-1229.4300816607633,1,1
,CONSTRUCTION OF RURAL ROADS WITH FIVE YEAR MAINTEINANCE,Urban Development,Not reported,2016,2020-08-31,253.92,1113.24,-21.445249875891964,338.42155009451795,-359.86679997040994,351.0030411255413,1552,-1200.9969588744586,1,1
,UPGRADATION OF CRUDE OIL PUMP STATIONS OF NAHARKATIYA-,Petroleum,Not reported,2015,2020-08-31,871.35,565.63,13.318475566112697,-35.085786423366045,48.40426198947874,206.54042568542565,2010,-1803.4595743145744,1,1
,INSTALLATION OF ADDITIONAL CRUDE TANKS (7 NOS) AT PARADIP,Petroleum,Not reported,2019,2020-12-31,429.0,373.62,-14.6457268772612,-12.909090909090908,-1.736635968170292,259.76691919191916,730,-470.23308080808084,1,1
,2 LANING OF SINGER RIVER TO SIZOH NALA IN ARUNACHAL,Highways And Infrastructure Development Corporation,Not reported,2019,2021-01-31,179.82,199.53,-16.71686666295583,10.960960960960966,-27.677827623916798,210.89726190476196,761,-550.102738095238,1,1
,CONSTRUCTION OF MECHI BRIDGE AND APPROACHES ON INDIA-,Highways And Infrastructure Development Corporation,Not reported,2018,2021-01-31,158.65,110.62,-35.33391012361914,-30.274188465174912,-5.059721658444229,244.71969696969708,975,-730.2803030303029,1,1
,MDPL CAPACITY EXPANSION AND PALANPUR VADODARA PIPELINE,Petroleum,Not reported,2020,2021-01-31,1879.0,1694.25,-25.356312128098867,-9.83235763704098,-15.523954491057887,137.60985569985579,244,-106.39014430014421,1,1
,WIDENING FROM TWO LANE TO FOUR LANE WITH PAVED SHOULDER,Highways And Infrastructure Development Corporation,Not reported,2017,2021-01-31,223.67,112.81,-10.217841456553375,-49.56408995395002,39.346248497396644,227.11134199134202,1460,-1232.888658008658,1,1
,MODERNISATION OF STEEL MELTING SHOP NO.1 AT BOKARO STEEL,Steel,Not reported,2017,2021-02-28,1154.18,1027.04,-19.493140836502192,-11.01561281602524,-8.477528020476953,346.47170995671,1185,-838.52829004329,1,1
,"FUEL QUALITY UPGRADATION (NSU,NHT CCR NEW UNIT) PROJECT",Petroleum,Not reported,2019,2021-03-31,951.64,708.43,-2.664293411169892,-25.55693329410282,22.892639882932926,218.48557720057715,547,-328.51442279942285,1,1
,REHABILITATION AND UPGRADATION OF NH67 FROM KM 424.650 TO,Road Transport And Highways,Not reported,2018,2021-05-31,378.24,315.42,-26.622124273847106,-16.60850253807106,-10.013621735776045,171.8443447461629,1246,-1074.155655253837,1,1
,MOTOR SPIRIT BLOCK PROJECT (MSBP) TO PRODUCE BSVI MS AT,Petroleum,Not reported,2020,2021-06-30,3313.0,2977.0,-21.40530187210509,-10.141865378810746,-11.263436493294343,392.2736634199133,515,-122.7263365800867,0,1
,CONSTRUCTION OF 76 NOS MS FLATS FOR HONORABLE MPS OF,Court Of India At Land Adjoining Pragati Maidan (Central,Not reported,2020,2021-08-31,218.72,175.63,-15.152364254863441,-19.70098756400878,4.54862330914534,224.51467532467538,303,-78.48532467532462,1,1
,CONSTRUCTION OF A NEW POL DEPOT AT VILLAGE DATA IN HISAR,Effluent Treatment Plant At Madhuban              (Oil India,Not reported,2020,2021-08-31,255.0,275.68,-22.724113157227524,8.10980392156863,-30.833917078796155,353.98940476190495,303,50.98940476190495,1,1
,CONSTRUCTION OF ADDITIONAL COMPLEX FOR THE SUPREME,Urban Development,Not reported,2015,2021-08-31,884.3,874.29,2.491175022193649,-1.1319687888725536,3.6231438110662024,168.82474025974025,2100,-1931.1752597402597,1,1
,FOUR LANING OF CHANDIGARH - KHARAR,Shoulders Configuration Of Nabarangpur-Kok (Ministry,Not reported,2017,2021-08-31,447.29,346.39,-11.408865130997086,-22.558071944376138,11.149206813379053,174.81912829594646,1369,-1194.1808717040535,1,1
,FOUR LANNING OF NH-4A(NH-748) FROM KM 118 TO 125 INCL.FOUR,Road Transport And Highways,Not reported,2018,2021-08-31,297.0,290.64,57.57757538708624,-2.141414141414146,59.71898952850039,285.8362062180244,1248,-962.1637937819755,1,1
,NH 79 CHITTORGARH NEEMUCH MP BORDER FOUR LANING AND NH,Shoulders Configuration Of Nabarangpur-Kok (Ministry,Not reported,2013,2021-08-31,511.0,492.0,-15.713567244690926,-3.7181996086105675,-11.99536763608036,54.250123966942134,2891,-2836.7498760330577,1,1
,NH 79 OF CHITTORGARH NEEMUCH MP BORDER KM 183 000 TO KM,Shoulders Configuration Of Nabarangpur-Kok (Ministry,Not reported,2013,2021-08-31,511.0,2323.04,-15.713567244690926,354.6066536203523,-370.3202208650432,54.250123966942134,2891,-2836.7498760330577,1,1
,REHABILITATION AND UP-GRADATION TO 2 LANE WITH PAVED,Shoulder Of Abohar-Sitogunno-Dabwali Road Of Nh,Not reported,2020,2021-08-31,173.24,56.66,-25.273696109231295,-67.29392749942276,42.02023139019147,207.67377705627712,456,-248.32622294372288,1,1
,REHABILITATION AND UPGRADATION OF ALLAHABAD -MIRZAPUR,Shoulder Of Mudki-Jawahar Singh Wala Section Of,Not reported,2019,2021-08-31,239.63,212.53,-7.3676287018896,-11.30910153152777,3.94147282963817,290.25263528138527,942,-651.7473647186148,1,1
,REHABILITATION AND UPGRADING TO 2 LANE WITH PAVED,Epc(Ministry Of Road Transport And Highways (State,Not reported,2014,2021-08-31,278.39,22.18,-11.715966997701681,-92.03275979740651,80.31679279970483,292.3078025383707,2587,-2294.6921974616293,1,1
,REHABILITATION AND UPGRADING TO 2 LANES/2 LANE WITH PAVED,Rate(Ministry Of Road Transport And Highways (State,Not reported,2018,2021-08-31,229.41,6.65,-8.709732659481789,-97.10125975328016,88.39152709379837,235.42081168831174,1218,-982.5791883116883,1,1
,REHABILITATION AND UPGRADING TO 2 LNES-2 LANE WITH PAVED,Paved Shoulders From Existing                Epc(Ministry Of,Not reported,2014,2021-08-31,376.52,171.16,-25.095228782820712,-54.541591416126636,29.446362633305924,128.57983175914998,2709,-2580.42016824085,1,1
,SECONDARY TANK FARM WITH DEHYDRATION FACILITY AND,Petroleum,Not reported,2017,2021-08-31,352.56,455.0,-23.15785778920696,29.056047197640115,-52.213904986847076,429.0789917027416,1644,-1214.9210082972584,1,1
,STRENGTHENING AND WIDENING WORK OF EXISTING 2-LANE TO,Shoulders Configuration And Strengthening Of Anish,Not reported,2016,2021-08-31,206.8,74.04,-18.363585334941178,-64.19729206963248,45.833706734691305,229.78361471861476,1887,-1657.2163852813853,1,1
,WIDENING AND STRENGHENING OF NH-65 TO TWO LANES WITH,Epc(Ministry Of Road Transport And Highways (State,Not reported,2015,2021-08-31,257.09,14.18,-22.707033728610824,-94.484421797814,71.77738806920317,351.2716017316019,2434,-2082.728398268398,1,1
,WIDENING AND STRENGTHENING OF EXISTING SL IL DL TO 2 LANE,Two Lane With Paved Shoulder And Gemetric Impr,Not reported,2017,2021-08-31,239.91,147.25,-7.3676287018896,-38.62281688966696,31.255188187777357,290.25263528138527,1430,-1139.7473647186148,1,1
,WIDENING OF SL TO 2 L KM. 107-184.80 SUKUMA TO KONTA ON NH,Flash Report,Not reported,2013,2021-08-31,179.89,242.23,-13.421180431012507,34.65451109011063,-48.07569152112314,137.06234848484848,3105,-2967.9376515151516,1,1
,BHILDI-VIRAMGAM GAUGE CONVERSION INCLUDING GC OF,Flash Report,Not reported,2019,2021-09-30,551.51,773.12,-16.086461400542557,40.18240829722036,-56.26886969776292,146.37814344746164,944,-797.6218565525384,1,1
,GREEN ENERGY CORRIDORS - INTER STATE TRANSSMISSION,Plant (Psp)                      (Power Grid Corporation Of,Not reported,2019,2021-09-30,3519.59,2562.41,-21.40530187210509,-27.195781326802276,5.790479454697188,384.5565422077922,883,-498.4434577922078,0,1
,REPLACEMENT OF CONVERTER SHELLS TOGETHER WITH BOTTOM,Steel,Not reported,2020,2021-09-30,263.36,253.46,-22.389537343685173,-3.759113001215069,-18.630424342470103,393.081130952381,394,-0.9188690476190118,1,1
,SUB STATION WORK ASSOCIATED WITH STRENGTHENING OF,Tumkur (Pavagada) Karnataka Phase -Ii (Part Ii)      (Power,Not reported,2019,2021-09-30,608.24,425.04,-9.40419725889722,-30.11968959621202,20.7154923373148,143.3201889020071,913,-769.6798110979929,1,1
,TRANSMISSION SYSTEM ASSOICATED WITH TEHRI PUMP STORAGE,Corridor For Ipps In Chhattisgarh             (Power Grid,Not reported,2017,2021-09-30,871.62,628.13,2.54185519238455,-27.935338794428766,30.477193986813315,166.0035281385281,1460,-1293.996471861472,1,1
,TRANSMISSION SYSTEM FOR ULTRA MEGA SOLAR POWER AT,Scheme Part-D                         (Power Grid,Not reported,2019,2021-09-30,408.46,369.27,-25.68104298472482,-9.594574744160996,-16.086468240563825,173.9554161747343,1003,-829.0445838252657,1,1
,TRANSMISSION SYSTEM STRENGTHENING IN WR-NR TRANSMISSION,Power,Not reported,2018,2021-09-30,5151.37,3269.93,-11.962817936411017,-36.52309968027923,24.560281743868213,469.6518127705627,1309,-839.3481872294374,0,1
,C/O STEEL STRUCTURE BUILDINGS USING PRE-ENGINEERED,Urban Development,Not reported,2020,2021-10-31,532.0,541.0,-16.370199517829143,1.6917293233082706,-18.061928841137412,151.49026465958283,364,-212.50973534041717,1,1
,D/O OF TERMINAL BLDG. AND PAVEMENT WORKS AT CHENNAI,Civil Aviation,Not reported,2010,2021-10-31,535.0,0.01,-31.620130798348605,-99.99813084112151,68.3780000427729,397.9392748917751,4170,-3772.0607251082247,1,1
,PROPYLENE DERIVATIVES PETROCHEMICAL PROJECT(PDPP) AT,Petroleum,Not reported,2018,2021-10-31,4588.29,5376.5,-13.410636163689931,17.17873107410386,-30.589367237793795,413.4653300865801,1187,-773.53466991342,0,1
,ADDITIONAL FACILITIES AT AHMEDNAGAR FOR CONVERSION TO,Koyali-Manmad-Ahmednagar-Solapur Pipeline         (Indian Oil,Not reported,2021,2021-12-31,261.0,195.22,-22.530156958189213,-25.203065134099617,2.672908175910404,351.2716017316019,364,-12.72839826839811,1,1
,ADDITIONAL FACILITIES AT MANMAD FOR COVERSION TO TOP ON,Petroleum,Not reported,2021,2021-12-31,212.0,177.58,-9.00099464778947,-16.23584905660377,7.234854408814298,514.8801677489176,364,150.88016774891764,1,1
,MULTI PRODUCT PIPELINE FROM BINA TERMINAL TO PANKI KANPUR,Top On Koyali-Manmad-Ahmednagar-Solapur Pipeli (Indian,Not reported,2021,2021-12-31,1524.06,1037.45,-10.985613160459955,-31.928532997388547,20.942919836928592,126.50638528138529,30,96.50638528138529,1,0
